CUSTOMER_ID	PURCHASE_ID	ORDERDATE
723	707867026	2008-03-01
723	707867024	2009-07-02
725	708270082	2005-09-14
725	708270077	2005-09-24
725	708270079	2006-11-08
725	708270086	2007-02-27
726	708477065	2005-01-14
726	708477054	2005-08-27
726	708477050	2007-12-26
726	708477059	2008-04-11
726	708477045	2010-01-29
726	708477047	2010-06-14
729	708569840	2006-07-13
734	708595177	2008-09-28
734	708595174	2010-03-12
734	708595172	2010-07-28
735	708637782	2006-01-12
735	708637784	2006-11-17
735	708637787	2009-05-26
746	708647052	2005-04-29
746	708647050	2008-01-28
747	708837955	2008-08-15
749	708974921	2007-11-20
749	708974919	2009-02-08
750	709124899	2005-07-09
750	709124896	2009-02-03
750	709124894	2009-02-23
754	709180989	2007-04-12
754	709180991	2010-04-29
758	709217404	2005-01-27
758	709217402	2008-01-23
758	709217407	2010-10-30
763	709241931	2011-06-30
767	709402000	2009-05-04
768	709540470	2008-10-30
769	709703126	2005-04-12
769	709703124	2010-08-22
771	709832508	2005-03-14
771	709832503	2006-08-02
771	709832496	2008-04-28
771	709832514	2009-04-27
771	709832499	2009-11-07
771	709832494	2010-11-15
772	709989849	2007-12-28
772	709989847	2008-03-26
774	710080353	2005-04-30
774	710080351	2008-06-21
782	710243205	2010-04-16
782	710243203	2010-10-26
786	710312342	2005-05-20
787	710316994	2007-02-06
787	710316996	2008-10-13
795	710338987	2005-05-12
795	710338990	2005-07-26
795	710338985	2007-07-25
798	710407832	2005-05-01
798	710407835	2007-03-18
798	710407839	2007-11-15
798	710407830	2010-02-25
801	710414665	2005-04-30
801	710414667	2006-03-05
801	710414670	2008-01-29
802	710619064	2007-12-16
802	710619061	2008-06-15
802	710619059	2010-03-02
813	710675890	2009-10-25
813	710675885	2009-12-09
813	710675887	2010-12-02
819	710698183	2005-01-19
819	710698185	2005-11-04
820	710791084	2006-01-21
821	710813178	2007-03-29
823	710857451	2007-06-18
823	710857453	2010-07-15
826	710883139	2007-01-14
828	710920833	2007-06-09
828	710920831	2010-06-06
830	711022480	2010-01-17
834	711038171	2005-08-12
834	711038169	2010-12-26
835	711041849	2005-08-13
835	711041844	2009-10-26
835	711041846	2010-05-28
837	711066681	2006-12-20
839	711116529	2006-02-01
840	711215297	2005-04-18
840	711215300	2005-12-24
840	711215309	2006-04-23
840	711215295	2008-11-23
840	711215304	2010-10-04
846	711231158	2006-07-18
846	711231154	2007-09-04
846	711231151	2010-03-26
846	711231149	2010-05-12
851	711284551	2005-08-23
851	711284549	2007-01-25
852	711331287	2006-03-28
857	711388412	2008-03-24
857	711388414	2008-04-17
857	711388417	2008-07-14
858	711464037	2005-11-30
858	711464039	2009-03-21
858	711464042	2009-05-20
859	711466044	2005-09-17
859	711466039	2008-09-05
859	711466041	2009-06-04
860	711471892	2006-12-08
860	711471894	2007-06-24
864	711499646	2009-08-01
864	711499644	2009-08-27
864	711499649	2010-10-17
865	711531383	2006-07-23
865	711531378	2008-05-08
865	711531380	2009-02-13
867	711623105	2005-09-29
867	711623107	2007-12-18
867	711623110	2009-06-22
868	711664261	2007-11-19
869	711683342	2005-12-12
869	711683340	2009-01-07
870	711711620	2006-02-10
870	711711618	2006-05-26
870	711711627	2007-07-04
870	711711623	2007-10-08
870	711711638	2008-01-23
870	711711632	2010-11-22
872	711804213	2009-12-30
872	711804211	2010-09-09
873	711893752	2011-03-05
873	711893761	2011-04-16
873	711893757	2011-05-02
873	711893754	2011-05-08
873	711893772	2011-05-14
873	711893766	2011-06-02
874	711901226	2009-04-13
874	711901223	2010-08-19
874	711901221	2010-11-16
875	711917011	2006-12-20
875	711917009	2009-11-26
879	711947275	2006-05-20
879	711947269	2006-12-15
879	711947264	2007-03-07
879	711947255	2007-05-15
879	711947260	2008-08-06
879	711947257	2010-11-19
880	711950982	2008-04-06
880	711950987	2008-07-24
880	711950993	2010-04-26
880	711950978	2010-05-10
880	711950975	2010-05-25
880	711950973	2010-09-27
887	712003806	2010-07-17
888	712072196	2007-06-16
888	712072201	2007-10-01
888	712072198	2010-01-23
890	712111122	2007-09-16
891	712114167	2007-09-11
891	712114163	2008-09-12
891	712114158	2010-08-04
891	712114160	2010-11-06
897	712122369	2005-12-27
897	712122372	2006-01-24
897	712122367	2008-12-13
899	712170544	2005-12-08
899	712170546	2007-05-05
900	712199323	2006-12-19
902	712201399	2005-07-01
902	712201394	2007-01-07
902	712201396	2010-07-10
903	712209172	2006-10-01
903	712209170	2010-03-27
903	712209175	2010-04-15
907	712225564	2010-06-10
912	712300820	2007-07-01
912	712300818	2009-08-17
913	712347934	2006-05-23
913	712347939	2007-03-08
913	712347936	2010-10-29
917	712350787	2006-02-03
923	712430178	2008-09-11
927	712452223	2007-05-15
927	712452221	2007-07-13
928	712465636	2005-06-26
929	712466504	2007-10-03
929	712466506	2010-03-09
930	712547839	2008-01-02
930	712547837	2010-01-11
935	712560333	2005-09-15
935	712560351	2007-03-08
935	712560345	2009-04-25
935	712560331	2009-06-18
935	712560340	2010-08-03
935	712560336	2010-08-28
936	712644340	2007-10-11
936	712644342	2010-02-17
939	712684871	2006-06-13
939	712684869	2008-02-24
940	712690327	2005-03-28
940	712690313	2006-07-02
940	712690322	2008-02-21
940	712690315	2010-01-28
940	712690333	2010-02-23
940	712690318	2010-06-08
942	712746417	2005-04-13
942	712746412	2006-04-24
942	712746414	2008-11-12
943	712746963	2007-11-06
945	712838432	2006-05-01
949	712874647	2005-03-20
949	712874642	2006-05-09
949	712874644	2007-04-13
951	712885340	2010-04-18
955	712891190	2005-04-10
955	712891188	2008-11-29
955	712891193	2010-05-12
956	712901188	2006-05-04
956	712901186	2007-09-21
960	712971589	2009-07-19
961	712992228	2006-01-05
961	712992226	2010-06-18
962	713004991	2008-01-22
963	713049170	2005-03-09
963	713049168	2007-09-01
964	713049873	2005-06-27
964	713049870	2008-01-21
964	713049868	2009-10-15
965	713084508	2008-08-10
967	713146452	2005-07-19
968	713146819	2010-09-14
971	713152625	2006-09-22
972	713169326	2005-04-19
973	713216407	2006-04-06
973	713216412	2006-07-27
973	713216409	2010-12-10
974	713219941	2009-03-20
974	713219944	2009-05-21
974	713219939	2009-07-05
975	713269040	2009-05-21
975	713269042	2010-03-30
977	713281846	2005-03-28
977	713281848	2009-02-24
978	713309437	2010-11-02
986	713337195	2006-06-06
986	713337193	2009-12-15
991	713338283	2007-08-29
992	713391268	2009-05-02
993	713418813	2005-06-13
993	713418815	2007-12-28
993	713418818	2009-09-05
996	713429721	2005-09-26
996	713429726	2006-09-18
996	713429723	2010-01-16
1001	713471811	2007-03-19
1001	713471806	2008-04-07
1001	713471808	2009-09-06
1001	713471815	2010-02-18
1002	713473975	2005-07-20
1002	713473984	2006-12-03
1002	713473979	2006-12-15
1002	713473972	2007-01-16
1002	713473970	2010-11-27
1004	713490535	2006-02-07
1004	713490540	2007-07-16
1004	713490537	2009-05-13
1007	713514239	2005-11-18
1007	713514246	2009-11-06
1007	713514242	2010-05-19
1007	713514237	2010-10-02
1008	713521039	2006-09-13
1008	713521030	2007-05-03
1008	713521035	2009-05-04
1008	713521032	2010-04-04
1014	713529834	2006-08-25
1014	713529837	2006-11-27
1014	713529832	2009-04-03
1015	713546767	2007-07-13
1018	713555293	2005-09-02
1018	713555299	2007-11-04
1018	713555279	2008-02-03
1018	713555288	2008-04-18
1018	713555284	2008-06-24
1018	713555281	2010-09-27
1020	713590767	2006-02-23
1020	713590765	2008-04-04
1020	713590770	2008-11-07
1023	713618316	2005-04-05
1023	713618318	2005-11-14
1023	713618321	2007-12-13
